sample_ID,otter_region,site,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sediment_ww_pre_60C,pan_sediment_dw_post_60C,pan_sediment_dw_pre_450C,pan_sediment_dw_post450C,crucible_weight,crucible_sediment_dw_pre_950C,crucible_sediment_dw_post_950C
,Low,L05,A,16,0.8,15.7,15.70000,16,1.28188,39.54759,34.89626,34.89626,33.11949,26.40811,59.78589,57.34262
,Low,L05,A,17,0.9,17.6625,17.66250,17,1.25153,43.43618,38.26904,38.26904,36.38583,,,
,Low,L05,A,18,0.8,15.7,15.70000,18,1.28604,36.34306,31.89184,31.89184,30.08753,,,
,Low,L05,A,19,0.9,17.6625,17.66250,19,1.29194,39.29634,33.63072,33.63072,31.63181,,,
,Low,L05,A,20,0.8,15.7,15.70000,20,1.25774,32.63294,28.08740,28.08740,26.09344,,,
,Low,L05,A,21,0.9,17.6625,17.66250,21,1.29804,41.03320,35.09534,35.09534,33.06244,28.56188,61.95224,59.28931
,Low,L05,A,22,0.8,15.7,15.70000,22,1.31074,34.26401,29.87649,29.87649,27.91047,,,
,Low,L05,A,23,0.9,17.6625,17.66250,23,1.31855,40.09972,35.23236,35.23236,33.08586,,,
,Low,L05,A,24,0.8,15.7,15.70000,24,1.27724,33.12420,28.86552,28.86552,26.99309,,,
,Low,L05,A,25,0.9,17.6625,17.66250,25,1.28062,38.23022,33.41997,33.41997,31.38003,,,
,Low,L05,A,26,0.8,15.7,15.70000,26,1.28782,37.68366,32.67362,32.67362,29.99898,28.68294,59.37626,55.86641
,Low,L05,A,27,0.9,17.6625,17.66250,27,1.28905,42.34080,38.09953,38.09953,36.22883,,,
,Low,L05,A,28,1,19.625,19.62500,28,1.28120,44.90201,40.37559,40.37559,38.44245,,,
,Low,L05,A,29,0.8,15.7,15.70000,29,1.28537,36.78506,33.41907,33.41907,31.67126,,,
,Low,L05,A,30,0.9,17.6625,17.66250,30,1.28528,42.06188,37.09705,37.09705,34.79639,26.3005,61.55035,57.27148
,Low,L05,A,31,0.9,17.6625,17.66250,31,1.28804,40.15832,35.47320,35.47320,33.39701,,,
,Mid,M05,B,1,1,19.625,19.62500,1,1.27322,46.94349,12.84608,12.84608,10.46088,,,
,Mid,M05,B,2,1,19.625,19.62500,2,1.25269,25.62122,8.01568,8.01568,6.48711,23.06715,30.39599,27.86273
,Mid,M05,B,3,1.3,25.5125,25.51250,3,1.25617,30.84944,10.87921,10.87921,8.96509,,,
,Mid,M05,B,4,1.2,23.55,23.55000,4,1.27790,32.20044,11.50084,11.50084,9.42506,,,
,Mid,M05,B,5,0.9,17.6625,17.66250,5,1.28501,22.46186,8.01569,8.01569,6.37034,,,
,Mid,M05,B,6,1,19.625,19.62500,6,1.27139,26.04222,9.74070,9.74070,7.90737,,,
,Mid,M05,B,7,1.1,21.5875,21.58750,7,1.27618,30.09055,11.65134,11.65134,9.57833,25.01616,35.77247,32.82787
,Mid,M05,B,8,0.9,17.6625,17.66250,8,1.27158,25.23155,10.37519,10.37519,8.55817,,,
,Mid,M05,B,9,1.1,21.5875,21.58750,9,1.28647,29.47919,12.39509,12.39509,10.35313,,,
,Mid,M05,B,10,1,19.625,19.62500,10,1.28745,23.80250,9.87107,9.87107,8.12634,,,
,Mid,M05,B,11,1.2,23.55,23.55000,11,1.29396,33.18507,14.54018,14.54018,12.35576,,,
,Mid,M05,B,12,0.9,17.6625,17.66250,12,1.29836,28.83650,14.31644,14.31644,12.31622,27.52039,40.80582,37.82787
,Mid,M05,B,13,0.9,17.6625,17.66250,13,1.27788,35.62510,25.74397,25.74397,23.73617,,,
,Mid,M05,B,14,1.3,25.5125,25.51250,14,1.29867,44.12910,29.99032,29.99032,27.64247,,,
,Mid,M05,B,15,0.9,17.6625,17.66250,15,1.30838,26.96805,16.70491,16.70491,14.75763,,,
,Mid,M05,B,16,1.2,23.55,23.55000,16,1.28328,58.32656,48.22868,48.22868,46.09352,,,
,Mid,M05,B,17,1.1,21.5875,21.58750,17,1.27512,45.92812,37.51286,37.51286,35.51341,26.96474,63.11525,58.78252
,Mid,M05,B,18,0.9,17.6625,17.66250,18,1.28520,28.01750,17.88002,17.88002,15.71204,,,
,Mid,M05,B,19,0.9,17.6625,17.66250,19,1.29478,28.07068,18.30635,18.30635,16.41056,,,
,Mid,M05,B,20,1.1,21.5875,21.58750,20,1.26364,23.87968,15.26008,15.26008,13.27380,,,
,Mid,M05,B,21,1,19.625,19.62500,21,1.28732,22.38135,16.04269,16.04269,14.14376,,,
,Mid,M05,B,22,1,19.625,19.62500,22,1.24440,36.77738,27.10842,27.10842,24.79226,28.29977,53.70292,48.45562
,Mid,M05,B,23,1.1,21.5875,21.58750,23,1.29096,43.52398,33.02000,33.02000,30.06528,,,
,Mid,M05,B,24,1,19.625,19.62500,24,1.26475,38.61421,30.35016,30.35016,28.08618,,,
,Mid,M05,B,25,1.2,23.55,23.55000,25,1.28560,40.05039,27.17153,27.17153,24.86621,,,
,Mid,M05,B,26,1.1,21.5875,21.58750,26,1.27886,37.15903,25.21638,25.21638,22.80973,,,
,Mid,M05,B,27,1.1,21.5875,21.58750,27,1.29494,39.66752,28.52864,28.52864,26.41248,30.19194,57.33348,50.77441
,Mid,M05,B,28,1.1,21.5875,21.58750,28,1.29984,40.06935,28.96200,28.96200,26.77560,,,
,Mid,M05,B,29,1,19.625,19.62500,29,1.32775,40.37054,29.96965,29.96965,27.81546,,,
,Mid,M05,B,30,1,19.625,19.62500,30,1.28435,34.55736,25.30138,25.30138,23.20143,,,
,Mid,M05,B,31,1,19.625,19.62500,31,1.28065,38.10014,27.32954,27.32954,25.19246,,,
,Mid,M05,B,32,1,19.625,19.62500,32,1.27008,34.51250,23.26955,23.26955,20.89134,26.52278,48.07885,43.06464
,Mid,M05,B,33,1.2,23.55,23.55000,33,1.28357,40.96937,25.94162,25.94162,23.47874,,,
,Mid,M05,B,34,0.9,17.6625,17.66250,34,1.28303,30.48692,18.40464,18.40464,16.75911,,,
,Mid,M05,B,35,1.1,21.5875,21.58750,35,1.29163,43.26284,27.56074,27.56074,25.27328,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
