"","sample_ID","otter_region","site","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sediment_ww_pre_60C","pan_sediment_dw_post_60C","pan_sediment_dw_pre_450C","pan_sediment_dw_post450C","crucible_weight","crucible_sediment_dw_pre_950C","crucible_sediment_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","dry_bulk_density","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","percent_om","percent_im","om.im_ratio","om_density","im_density"
"62","2017Aug22_M08_A","Mid","M08","A",22,1,19.625,19.625,22,1.29476,43.01749,33.88045,33.88045,31.59354,26.58674,59.1133,39.64537,41.72273,TRUE,32.58569,1.66041732484076,32.58569,30.29878,2.28691000000001,32.52656,13.05863,19.46793,7.01814201264422,59.8524098459843,0.117470629902614,3.7972249843516,32.3248882507873
"63","2017Aug22_M08_A","Mid","M08","A",23,1,19.625,19.625,23,1.29699,38.91761,29.86146,29.86146,27.42646,NA,NA,NA,37.62062,TRUE,28.56447,1.45551439490446,28.56447,26.12947,2.435,NA,NA,NA,8.5245761605239,NA,NA,3.54417755159236,NA
"64","2017Aug22_M08_A","Mid","M08","A",24,1,19.625,19.625,24,1.29531,28.53306,20.93863,20.93863,18.24924,NA,NA,NA,27.23775,TRUE,19.64332,1.00093350318471,19.64332,16.95393,2.68939,NA,NA,NA,13.6911173874885,NA,NA,2.69190055412994,NA
"65","2017July24_H06_A","High","H06","A",1,1.3,25.5125,25.5125,1,1.28734,40.37477,20.61909,20.61909,18.10964,NA,NA,NA,39.08743,TRUE,19.33175,0.757736403723665,19.33175,16.8223,2.50945,NA,NA,NA,12.9809768903488,NA,NA,1.90150161832435,NA
"66","2017July24_H06_A","High","H06","A",2,1.1,21.5875,21.5875,2,1.29193,34.55639,21.8582,21.8582,19.89152,24.85565,45.6349,42.94444,33.26446,TRUE,20.56627,0.95269345686161,20.56627,18.59959,1.96668,20.77925,18.08879,2.69046,9.56264796679223,12.9478205421274,0.73098280591423,1.87364316774059,2.56318363794789
"67","2017July24_H06_A","High","H06","A",3,1.1,21.5875,21.5875,3,1.30293,36.36605,23.25126,23.25126,20.85591,NA,NA,NA,35.06312,TRUE,21.94833,1.01671476548929,21.94833,19.55298,2.39535,NA,NA,NA,10.9135865917817,NA,NA,2.43538771351476,NA
"68","2017July24_H06_A","High","H06","A",4,1.1,21.5875,21.5875,4,1.29728,35.42625,23.34507,23.34507,21.06854,NA,NA,NA,34.12897,TRUE,22.04779,1.02132206137811,22.04779,19.77126,2.27653,NA,NA,NA,10.3254339777365,NA,NA,2.32507031238912,NA
"69","2017July24_H06_A","High","H06","A",5,1.1,21.5875,21.5875,5,1.29565,36.39281,23.62767,23.62767,21.46811,NA,NA,NA,35.09716,TRUE,22.33202,1.03448847712797,22.33202,20.17246,2.15956,NA,NA,NA,9.67024030965402,NA,NA,2.23403993566647,NA
"70","2017July24_H06_A","High","H06","A",6,0.9,17.6625,17.6625,6,1.29274,29.34109,17.69216,17.69216,16.74542,NA,NA,NA,28.04835,TRUE,16.39942,0.928488039631989,16.39942,15.45268,0.946740000000004,NA,NA,NA,5.77300904544187,NA,NA,0.879036766641192,NA
"71","2017July24_H06_A","High","H06","A",7,1.3,25.5125,25.5125,7,1.28584,43.07524,27.19021,27.19021,26.04895,28.13691,55.32712,51.01805,41.7894,TRUE,25.90437,1.01535992160706,25.90437,24.76311,1.14126,27.19021,22.88114,4.30907,4.40566591660017,15.8478731867095,0.264850652228903,1.15878966413327,4.37525697739931
"72","2017July24_H06_A","High","H06","A",8,1.1,21.5875,21.5875,8,1.28115,33.54461,21.52999,21.52999,20.67434,NA,NA,NA,32.26346,TRUE,20.24884,0.937989114070643,20.24884,19.39319,0.855650000000001,NA,NA,NA,4.22567416207546,NA,NA,0.802590385454546,NA
"73","2017July24_H06_A","High","H06","A",9,1.1,21.5875,21.5875,9,1.29037,36.7789,23.38618,23.38618,22.46087,NA,NA,NA,35.48853,TRUE,22.09581,1.02354649681529,22.09581,21.1705,0.92531,NA,NA,NA,4.18771703775512,NA,NA,0.947097808968153,NA
"74","2017July24_H06_A","High","H06","A",10,1.1,21.5875,21.5875,10,1.28662,35.6711,22.40581,22.40581,21.3553,NA,NA,NA,34.38448,TRUE,21.11919,0.978306427330631,21.11919,20.06868,1.05051,NA,NA,NA,4.97419645355716,NA,NA,1.0277206849751,NA
"75","2017July24_H06_A","High","H06","A",11,1.1,21.5875,21.5875,11,1.28526,34.65497,23.37565,23.37565,20.90081,NA,NA,NA,33.36971,TRUE,22.09039,1.02329542559351,22.09039,19.61555,2.47484,NA,NA,NA,11.2032426770193,NA,NA,2.53249245107585,NA
"76","2017July24_H06_A","High","H06","A",12,1.2,23.55,23.55,12,1.2795,40.41406,28.76956,28.76956,26.31159,28.68026,55.74638,52.03608,39.13456,TRUE,27.49006,1.16730615711253,27.49006,25.03209,2.45797,27.06612,23.35582,3.7103,8.94130460246358,13.7082817928835,0.662472037301565,2.86920351499788,4.33105603473461
"77","2017July24_H06_A","High","H06","A",13,1.1,21.5875,21.5875,13,1.29357,38.49739,28.42158,28.42158,26.18339,NA,NA,NA,37.20382,TRUE,27.12801,1.25665361899247,27.12801,24.88982,2.23819,NA,NA,NA,8.25047616835883,NA,NA,2.81262956349276,NA
"78","2017July24_H06_A","High","H06","A",14,1.2,23.55,23.55,14,1.2835,38.98153,27.2775,27.2775,24.98793,NA,NA,NA,37.69803,TRUE,25.994,1.10377919320594,25.994,23.70443,2.28957,NA,NA,NA,8.80807109332924,NA,NA,2.52717972738854,NA
"79","2017July24_H06_A","High","H06","A",15,1.1,21.5875,21.5875,15,1.29214,36.55845,24.32171,24.32171,22.11558,NA,NA,NA,35.26631,TRUE,23.02957,1.06680115807759,23.02957,20.82344,2.20613,NA,NA,NA,9.57955359131759,NA,NA,2.35350203886971,NA
"80","2017July24_H06_A","High","H06","A",16,1.1,21.5875,21.5875,16,1.28744,33.19788,21.16308,21.16308,17.53705,NA,NA,NA,31.91044,TRUE,19.87564,0.92070133178923,19.87564,16.24961,3.62603,NA,NA,NA,18.243588634127,NA,NA,3.3384906501077,NA
"81","2017July24_H06_A","High","H06","A",17,1,19.625,19.625,17,1.28202,19.68686,19.68686,19.68686,17.50331,25.76036,44.20559,41.17408,18.40484,TRUE,18.40484,0.937826242038217,18.40484,16.22129,2.18355,18.44523,15.41372,3.03151,11.8639988177023,16.4351976093549,0.720284610639581,2.04779049080255,2.84302963100128
"82","2017July24_H06_A","High","H06","A",18,1.3,25.5125,25.5125,18,1.29198,25.04663,25.04663,25.04663,22.6117,NA,NA,NA,23.75465,TRUE,23.75465,0.931098481136698,23.75465,21.31972,2.43493,NA,NA,NA,10.2503299354021,NA,NA,2.26715962467418,NA
"83","2017July24_H06_A","High","H06","A",19,1,19.625,19.625,19,1.2913,17.49275,17.49275,17.49275,15.32896,NA,NA,NA,16.20145,TRUE,16.20145,0.825551592356688,16.20145,14.03766,2.16379,NA,NA,NA,13.3555329924173,NA,NA,1.78632028002548,NA
"84","2017July24_H06_A","High","H06","A",20,1.3,25.5125,25.5125,20,1.28454,24.01746,24.01746,24.01746,22.4167,NA,NA,NA,22.73292,TRUE,22.73292,0.891050269475747,22.73292,21.13216,1.60076,NA,NA,NA,7.04159430464719,NA,NA,1.426357629366,NA
"85","2017July24_H06_A","High","H06","A",21,0.9,17.6625,17.6625,21,1.28227,18.57781,18.57781,18.57781,15.99294,NA,NA,NA,17.29554,TRUE,17.29554,0.979223779193206,17.29554,14.71067,2.58487,NA,NA,NA,14.9452980363724,NA,NA,2.53116617012314,NA
"86","2017July24_H06_A","High","H06","A",22,1.2,23.55,23.55,22,1.28628,33.10723,33.10723,33.10723,29.42333,25.90963,56.61356,52.81994,31.82095,TRUE,31.82095,1.35120806794055,31.82095,28.13705,3.6839,30.70393,26.91031,3.79362,11.5769642326832,12.3554867406224,0.971077756865475,4.9777154014862,5.12596995070063
