otter_region,site,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sediment_ww_pre_60C,pan_sediment_dw_post_60C,sediment_ww_pre_60C,sediment_dw_post_60C,dry_bulk_density,pan_sediment_dw_pre_450C,pan_sediment_dw_post450C,sediment_dw_pre_450C,sediment_dw_post_450C,OM_weight,crucible_weight,crucible_sediment_dw_pre_950C,crucible_sediment_dw_post_950C,sediment_dw_pre_950_C,sediment_dw_post950C,IM_weight
High,H06,A,6,0.9,17.6625,17.6625,6,1.29274,29.34109,17.69216,28.04835,16.39942,0.92849,17.69216,16.74542,16.39942,15.45268,0.94674,,,,,,
High,H06,A,7,1.3,25.5125,25.5125,7,1.28584,43.07524,27.19021,41.7894,25.90437,1.01536,27.19021,26.04895,25.90437,24.76311,1.14126,28.13691,55.32712,51.01805,27.19021,22.88114,4.30907
High,H06,A,8,1.1,21.5875,21.5875,8,1.28115,33.54461,21.52999,32.26346,20.24884,0.93799,21.52999,20.67434,20.24884,19.39319,0.85565,,,,,,
High,H06,A,9,1.1,21.5875,21.5875,9,1.29037,36.7789,23.38618,35.48853,22.09581,1.02355,23.38618,22.46087,22.09581,21.1705,0.92531,,,,,,
High,H06,A,10,1.1,21.5875,21.5875,10,1.28662,35.6711,22.40581,34.38448,21.11919,0.97831,22.40581,21.3553,21.11919,20.06868,1.05051,,,,,,
High,H06,A,11,1.1,21.5875,21.5875,11,1.28526,34.65497,23.37565,33.36971,22.09039,1.0233,23.37565,20.90081,22.09039,19.61555,2.47484,,,,,,
High,H06,A,12,1.2,23.55,23.55,12,1.2795,40.41406,28.76956,39.13456,27.49006,1.16731,28.76956,26.31159,27.49006,25.03209,2.45797,28.68026,55.74638,52.03608,27.06612,23.35582,3.7103
High,H06,A,13,1.1,21.5875,21.5875,13,1.29357,38.49739,28.42158,37.20382,27.12801,1.25665,28.42158,26.18339,27.12801,24.88982,2.23819,,,,,,
High,H06,A,14,1.2,23.55,23.55,14,1.2835,38.98153,27.2775,37.69803,25.994,1.10378,27.2775,24.98793,25.994,23.70443,2.28957,,,,,,
High,H06,A,15,1.1,21.5875,21.5875,15,1.29214,36.55845,24.32171,35.26631,23.02957,1.0668,24.32171,22.11558,23.02957,20.82344,2.20613,,,,,,
High,H06,A,16,1.1,21.5875,21.5875,16,1.28744,33.19788,21.16308,31.91044,19.87564,0.9207,21.16308,17.53705,19.87564,16.24961,3.62603,,,,,,
High,H06,A,17,1,19.625,19.625,17,1.28202,19.68686,19.68686,18.40484,18.40484,0.93783,19.68686,17.50331,18.40484,16.22129,2.18355,25.76036,44.20559,41.17408,18.44523,15.41372,3.03151
High,H06,A,18,1.3,25.5125,25.5125,18,1.29198,25.04663,25.04663,23.75465,23.75465,0.9311,25.04663,22.6117,23.75465,21.31972,2.43493,,,,,,
High,H06,A,19,1,19.625,19.625,19,1.2913,17.49275,17.49275,16.20145,16.20145,0.82555,17.49275,15.32896,16.20145,14.03766,2.16379,,,,,,
High,H06,A,20,1.3,25.5125,25.5125,20,1.28454,24.01746,24.01746,22.73292,22.73292,0.89105,24.01746,22.4167,22.73292,21.13216,1.60076,,,,,,
High,H06,A,21,0.9,17.6625,17.6625,21,1.28227,18.57781,18.57781,17.29554,17.29554,0.97922,18.57781,15.99294,17.29554,14.71067,2.58487,,,,,,
High,H06,A,22,1.2,23.55,23.55,22,1.28628,33.10723,33.10723,31.82095,31.82095,1.35121,33.10723,29.42333,31.82095,28.13705,3.6839,25.90963,56.61356,52.81994,30.70393,26.91031,3.79362
High,H01,A,1,1,19.625,19.625,1,1.2975,32.91782,21.4355,31.62032,20.138,1.02614,21.4355,19.34504,20.138,18.04754,2.09046,,,,,,
High,H01,A,2,1,19.625,19.625,2,1.29017,33.07367,22.18318,31.7835,20.89301,1.06461,22.18318,19.96383,20.89301,18.67366,2.21935,26.91961,47.44278,45.17108,20.52317,18.25147,2.2717
High,H01,A,3,0.9,17.6625,17.6625,3,1.29366,30.22783,20.37146,28.93417,19.0778,1.08013,20.37146,18.39091,19.0778,17.09725,1.98055,,,,,,
High,H01,A,4,1,19.625,19.625,4,1.28849,32.05987,21.15412,30.77138,19.86563,1.01226,21.15412,19.27152,19.86563,17.98303,1.8826,,,,,,
High,H01,A,5,0.9,17.6625,17.6625,5,1.2953,32.00376,22.68181,30.70846,21.38651,1.21084,22.68181,20.69939,21.38651,19.40409,1.98242,,,,,,
High,H01,A,6,1,19.625,19.625,6,1.30059,36.40771,26.79312,35.10712,25.49253,1.29898,26.79312,24.46749,25.49253,23.1669,2.32563,,,,,,
High,H01,A,7,0.9,17.6625,17.6625,7,1.29462,33.89468,25.23197,32.60006,23.93735,1.35526,25.23197,23.06074,23.93735,21.76612,2.17123,26.73605,50.25197,47.98225,23.51592,21.2462,2.26972
High,H01,A,8,0.9,17.6625,17.6625,8,1.29041,31.55688,23.43192,30.26647,22.14151,1.25359,23.43192,21.20235,22.14151,19.91194,2.22957,,,,,,
High,H01,A,9,0.9,17.6625,17.6625,9,1.2702,34.03141,24.78254,32.76121,23.51234,1.3312,24.78254,22.63592,23.51234,21.36572,2.14662,,,,,,
